split,forecast_hour,station_code,issue_rows,valid_targets,cams_rows,valid_target_pct,cams_coverage_pct
validation,12,SAMARINDA2,365,355,364,97.26027397260275,99.72602739726027
validation,12,SEMARANG,365,343,364,93.97260273972603,99.72602739726027
validation,12,SINTANG,365,335,364,91.78082191780823,99.72602739726027
validation,12,SORONG,365,329,364,90.13698630136986,99.72602739726027
validation,12,SUPADIO,365,354,364,96.98630136986301,99.72602739726027
validation,12,TANJUNGHARAPAN2,365,277,364,75.89041095890411,99.72602739726027
validation,24,BANJARBARU2,365,361,364,98.9041095890411,99.72602739726027
validation,24,BATAM2,365,358,364,98.08219178082192,99.72602739726027
validation,24,BENGKULU,365,353,364,96.71232876712328,99.72602739726027
validation,24,INDRAPURI2,365,331,364,90.68493150684931,99.72602739726027
validation,24,JAMBI3,365,352,364,96.43835616438356,99.72602739726027
validation,24,JAMBI4,365,343,364,93.97260273972603,99.72602739726027
validation,24,KEMAYORAN3,365,360,364,98.63013698630137,99.72602739726027
validation,24,KOTABARU,365,357,364,97.8082191780822,99.72602739726027
validation,24,KOTOTABANG2,365,266,364,72.87671232876713,99.72602739726027
validation,24,MALANG,365,355,364,97.26027397260275,99.72602739726027
validation,24,MAROS,365,310,364,84.93150684931507,99.72602739726027
validation,24,MEDAN2,365,356,364,97.53424657534246,99.72602739726027
validation,24,MLATI,365,353,364,96.71232876712328,99.72602739726027
validation,24,PALANGKARAYA2,365,343,364,93.97260273972603,99.72602739726027
validation,24,PALEMBANG3,365,362,364,99.17808219178082,99.72602739726027
validation,24,PALEMBANG4,365,342,364,93.6986301369863,99.72602739726027
validation,24,PALU,365,0,364,0.0,99.72602739726027
validation,24,PANGKALANBUN2,365,352,364,96.43835616438356,99.72602739726027
validation,24,PEKANBARU2,365,348,364,95.34246575342466,99.72602739726027
validation,24,PESAWARAN,365,350,364,95.89041095890411,99.72602739726027
validation,24,PONTIANAK2,365,359,364,98.35616438356165,99.72602739726027
