comparison_type,station_code,latitude,longitude,issue_time_utc,forecast_hour,direct_ads_pm25_ug_m3,earth_engine_pm25_ug_m3,absolute_difference_ug_m3,relative_absolute_difference_pct,earth_engine_source_image_id
native_grid,MEDAN2,3.5999999999999988,98.80000000000005,2026-01-01T00:00:00+00:00,24,19.197129219605813,19.19713987774685,1.0658141036401503e-05,5.5519452489367334e-05,20260101T00F024
native_grid,MEDAN2,3.5999999999999988,98.80000000000005,2026-01-01T00:00:00+00:00,48,46.86578591872603,46.86579657686707,1.0658141036401503e-05,2.2741837840689786e-05,20260101T00F048
native_grid,MEDAN2,3.5999999999999988,98.80000000000005,2026-01-01T00:00:00+00:00,72,44.21829657985654,44.218289474429184,7.105427357601002e-06,1.6068975757057655e-05,20260101T00F072
native_grid,PALANGKARAYA2,-2.400000000000001,114.00000000000027,2026-01-01T00:00:00+00:00,6,3.106925827722762,3.1069200545630338,5.773159728050814e-06,0.0001858158207877876,20260101T00F006
native_grid,PALANGKARAYA2,-2.400000000000001,114.00000000000027,2026-01-01T00:00:00+00:00,12,4.5077426236161955,4.507736850456467,5.773159728050814e-06,0.0001280720797546218,20260101T00F012
native_grid,PALANGKARAYA2,-2.400000000000001,114.00000000000027,2026-01-01T00:00:00+00:00,24,5.561941573972717,5.561939353526668,2.220446049250313e-06,3.992213905376067e-05,20260101T00F024
native_grid,PALANGKARAYA2,-2.400000000000001,114.00000000000027,2026-01-01T00:00:00+00:00,48,6.0373950283576505,6.037385702484244,9.325873406851315e-06,0.0001544684978048923,20260101T00F048
native_grid,PALANGKARAYA2,-2.400000000000001,114.00000000000027,2026-01-01T00:00:00+00:00,72,9.632861619479627,9.63285007316017,1.1546319456101628e-05,0.00011986385678740154,20260101T00F072
native_grid,PALEMBANG3,-3.2000000000000006,104.80000000000014,2026-01-01T00:00:00+00:00,6,11.618283224379411,11.61828411255783,8.881784197001252e-07,7.644661457696279e-06,20260101T00F006
native_grid,PALEMBANG3,-3.2000000000000006,104.80000000000014,2026-01-01T00:00:00+00:00,12,17.124158091519348,17.124161644233027,3.552713678800501e-06,2.074679327189793e-05,20260101T00F012
native_grid,PALEMBANG3,-3.2000000000000006,104.80000000000014,2026-01-01T00:00:00+00:00,24,5.097037014678563,5.09704545237355,8.43769498715119e-06,0.00016554117544864054,20260101T00F024
native_grid,PALEMBANG3,-3.2000000000000006,104.80000000000014,2026-01-01T00:00:00+00:00,48,6.125459695027757,6.125464580009066,4.884981308350689e-06,7.974881154333597e-05,20260101T00F048
native_grid,PALEMBANG3,-3.2000000000000006,104.80000000000014,2026-01-01T00:00:00+00:00,72,14.063322950619295,14.063311404299839,1.1546319456101628e-05,8.21023558702616e-05,20260101T00F072
native_grid,PALEMBANG4,-2.8000000000000007,104.80000000000014,2026-01-01T00:00:00+00:00,6,10.044809428677581,10.04481564592652,6.217248937900877e-06,6.189514078933989e-05,20260101T00F006
native_grid,PALEMBANG4,-2.8000000000000007,104.80000000000014,2026-01-01T00:00:00+00:00,12,14.053855856843711,14.053850527773193,5.329070518200751e-06,3.791892113085598e-05,20260101T00F012
native_grid,PALEMBANG4,-2.8000000000000007,104.80000000000014,2026-01-01T00:00:00+00:00,24,3.3780529484772615,3.3780436226038546,9.325873406851315e-06,0.0002760724461425383,20260101T00F024
