n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
5859,10.87687579893615,19.532495587188546,-3.1179847515192796,0.6590827647612015,0.3869113984099708,test,24,cams_xgboost,station_balanced_common_cases,17.250018053713113,27.0
5859,10.836498730411595,19.554584747277477,-3.430218498993646,0.6580157071514964,0.383234048496715,test,24,champion,station_balanced_common_cases,17.553119606104985,27.0
5859,13.65874338857327,24.690638004129738,-6.523154796279755,0.42224666683994855,0.05083043386873009,test,24,climatology,station_balanced_common_cases,-4.262213445132395,27.0
5859,10.87312564621034,19.316358644540653,-3.6909741928730746,0.63605490578746,0.3843004880667529,test,24,obs_lgbm,station_balanced_common_cases,17.767390589204208,27.0
5859,13.111779367149609,22.513414161337998,-0.3200693524876517,0.5460970054065087,0.07638972556697732,test,24,persistence,station_balanced_common_cases,0.0,27.0
5859,10.704090957541208,18.992677643832014,-2.7998722987090785,0.6596241230595689,0.39648645841819063,test,24,prediction_q50,station_balanced_common_cases,18.203044699610608,27.0
5859,17.509133544068565,27.322576513020312,-3.278121230298897,0.49930195540746286,-0.9604124059668749,test,24,raw_cams,station_balanced_common_cases,-48.13626146914189,27.0
5839,11.664917071479003,21.385322950288373,-4.405111204261444,0.5948683687366936,0.29200430704499614,test,48,cams_lgbm,station_balanced_common_cases,16.925139620597268,27.0
5839,11.668419253042996,21.23961770770277,-3.830961575529904,0.5975560946245785,0.2957565436722329,test,48,cams_xgboost,station_balanced_common_cases,16.48880393832916,27.0
5839,11.664917071479003,21.385322950288373,-4.405111204261444,0.5948683687366936,0.29200430704499614,test,48,champion,station_balanced_common_cases,16.925139620597268,27.0
5839,13.733095076964796,25.001959323684655,-6.629818883722006,0.4191082004020014,0.04831827403003187,test,48,climatology,station_balanced_common_cases,0.8895592874331933,27.0
5839,11.775122035445113,21.450233597449774,-5.002037195512508,0.5797037952300729,0.29542002601540296,test,48,obs_lgbm,station_balanced_common_cases,16.617291656756016,27.0
5839,13.897520648066632,23.61936610535634,-0.6684016170359135,0.4789813129822376,-0.02160502206699635,test,48,persistence,station_balanced_common_cases,0.0,27.0
5839,11.630579781720277,21.247149806499262,-4.2155328598074036,0.6007218250957299,0.3018069254813902,test,48,prediction_q50,station_balanced_common_cases,17.391731978675118,27.0
5839,18.103978341911947,28.54288627633479,-3.750885253918441,0.4640026838061874,-0.9732631554364645,test,48,raw_cams,station_balanced_common_cases,-40.7575299959804,27.0
5832,12.031415688015565,21.82958706032891,-4.450508385561913,0.5694271100276642,0.26337886089005985,test,72,cams_lgbm,station_balanced_common_cases,19.206819741104955,27.0
5832,12.1171028278643,21.954831547859182,-4.359825360413964,0.5689566947718911,0.25580382146469083,test,72,cams_xgboost,station_balanced_common_cases,18.34110166569158,27.0
5832,12.031415688015565,21.82958706032891,-4.450508385561913,0.5694271100276642,0.26337886089005985,test,72,champion,station_balanced_common_cases,19.206819741104955,27.0
5832,13.73172911952839,24.993858984545,-6.605678049920362,0.42006407873130436,0.04912062645979322,test,72,climatology,station_balanced_common_cases,6.422489357075237,27.0
5832,12.166468783133677,22.068864230767215,-5.403542437264837,0.5492202213445032,0.2597466700463647,test,72,obs_lgbm,station_balanced_common_cases,19.013257986131762,27.0
5832,14.675242563309327,24.41294708856572,-1.1421639499935263,0.43088466083910054,-0.0958573728669907,test,72,persistence,station_balanced_common_cases,0.0,27.0
5832,12.039160056046152,21.897795488241012,-4.595434251960655,0.5701473186670756,0.2610862820896595,test,72,prediction_q50,station_balanced_common_cases,19.25654871028505,27.0
5832,18.54656461106418,29.196764001427955,-4.080287285646373,0.43617345956155523,-1.0197086893308627,test,72,raw_cams,station_balanced_common_cases,-34.49306676351458,27.0
8580,5.076434263038734,9.208896117410777,-0.544426227746045,0.5545086097365026,0.3186255721429949,validation,3,cams_lgbm,station_balanced_common_cases,36.06334934439674,26.0
8580,5.102017208759401,9.197395716543756,-0.29605273225550843,0.5563408676632644,0.31934028016179555,validation,3,cams_xgboost,station_balanced_common_cases,35.58706286657321,26.0
8580,5.076434263038734,9.208896117410777,-0.544426227746045,0.5545086097365026,0.3186255721429949,validation,3,champion,station_balanced_common_cases,36.06334934439674,26.0
8580,7.751388600349191,11.938794654363258,2.1805161139638347,0.13618823554832457,-0.33657335856320947,validation,3,climatology,station_balanced_common_cases,1.510754409175951,26.0
8580,5.144542238259256,9.313963101478391,-0.8225688089737199,0.5409434686305324,0.30208310672687555,validation,3,obs_lgbm,station_balanced_common_cases,35.282375442112624,26.0
8580,8.44862167672099,13.681169882443779,4.050659659326118,0.4650155334511962,-0.9663435837007426,validation,3,persistence,station_balanced_common_cases,0.0,26.0
8580,5.078130331337975,9.20584612336507,-0.5546857058474429,0.5545259415952386,0.31837706794005,validation,3,prediction_q50,station_balanced_common_cases,36.011911318498655,26.0
8580,7.218412733400097,11.54186828902122,-2.4015117967979083,0.3055743500748084,-0.2685227699381471,validation,3,raw_cams,station_balanced_common_cases,3.407705316121454,26.0
8422,4.341392528949724,6.812544124703877,-0.34769950316607995,0.5456000477274109,0.3009787347082766,validation,6,cams_lgbm,station_balanced_common_cases,48.386165864109394,26.0
8422,4.358758330268575,6.802435479630996,-0.14699207299827555,0.5466987218378401,0.3029054235948973,validation,6,cams_xgboost,station_balanced_common_cases,48.20551660280816,26.0
8422,4.341392528949724,6.812544124703877,-0.34769950316607995,0.5456000477274109,0.3009787347082766,validation,6,champion,station_balanced_common_cases,48.386165864109394,26.0
8422,6.635208700653998,9.26911295210822,2.2775859667815683,0.17241102523072696,-0.43005066820436216,validation,6,climatology,station_balanced_common_cases,23.264829693044774,26.0
8422,4.496045009068512,7.004171057952839,-0.5295282406794165,0.5124480010357811,0.26234446269303857,validation,6,obs_lgbm,station_balanced_common_cases,46.98632520922843,26.0
8422,9.6907945487642,14.389670349452766,6.817254393775651,0.3958088418728423,-3.553968726305541,validation,6,persistence,station_balanced_common_cases,0.0,26.0
8422,4.3589562816159635,6.830138392131392,-0.3279010929750764,0.5450661016658723,0.29871883336999355,validation,6,prediction_q50,station_balanced_common_cases,48.1833028879241,26.0
8422,5.915570234318797,8.641701374671936,-0.3274107687272848,0.36836055822680075,-0.19830749782601623,validation,6,raw_cams,station_balanced_common_cases,28.391552069769947,26.0
8616,9.673306058687963,14.065364619412897,-1.9577942130879307,0.41969745354584576,0.1579838343290341,validation,12,cams_lgbm,station_balanced_common_cases,23.205473749802685,26.0
8616,9.699802776680468,13.954557908935042,-1.269801055464323,0.4241140082455681,0.16865341354838378,validation,12,cams_xgboost,station_balanced_common_cases,22.763917157164748,26.0
8616,9.673306058687963,14.065364619412897,-1.9577942130879307,0.41969745354584576,0.1579838343290341,validation,12,champion,station_balanced_common_cases,23.205473749802685,26.0
8616,11.527431861105994,15.778054052037957,0.813821441687222,0.17052250691202853,-0.07438990180684672,validation,12,climatology,station_balanced_common_cases,8.01562293325967,26.0
8616,9.796915388976913,14.28202957190763,-2.563953003701054,0.3957889910588684,0.13431138707138202,validation,12,obs_lgbm,station_balanced_common_cases,22.3755973106884,26.0
8616,12.98693348906646,18.57014055481197,-4.498063639288085,0.309258320322491,-0.5090829818503867,validation,12,persistence,station_balanced_common_cases,0.0,26.0
8616,9.663213361898505,14.065667730806734,-1.957872013362119,0.4195701762212864,0.15837534239158216,validation,12,prediction_q50,station_balanced_common_cases,23.296903558399453,26.0
8616,15.778825753585833,21.05941714203717,-2.4859480280657964,0.2680724377027532,-1.1990696282094935,validation,12,raw_cams,station_balanced_common_cases,-24.37700433936881,26.0
8546,7.545060727322129,10.720839698985353,-0.1474451438612514,0.4658460304901086,0.19380509687378472,validation,24,cams_lgbm,station_balanced_common_cases,20.49425972687588,26.0
8546,7.599705230306293,10.69208178285919,0.22892113416382878,0.4659977530322367,0.1939548825692737,validation,24,cams_xgboost,station_balanced_common_cases,19.826144993689145,26.0
8546,7.545060727322129,10.720839698985353,-0.1474451438612514,0.4658460304901086,0.19380509687378472,validation,24,champion,station_balanced_common_cases,20.49425972687588,26.0
8546,9.769244472371945,13.109369709551725,2.5647108342273457,0.16855739126125038,-0.2519385373469165,validation,24,climatology,station_balanced_common_cases,-3.6517987836079366,26.0
8546,7.594216177055139,10.86145453444766,-1.0175381431913737,0.43244120871216896,0.18364639983279252,validation,24,obs_lgbm,station_balanced_common_cases,20.674644740644016,26.0
8546,9.727265818440854,13.799995338670708,0.022693501974614845,0.34256775739010104,-0.31496084780592526,validation,24,persistence,station_balanced_common_cases,0.0,26.0
8546,7.528632490647398,10.695594060342678,-0.03255490260048296,0.4723930892481241,0.19630872276802444,validation,24,prediction_q50,station_balanced_common_cases,20.85423791725479,26.0
8546,13.631636735011845,18.03211191553566,2.8217909709908966,0.29273845972068285,-2.3145178033821434,validation,24,raw_cams,station_balanced_common_cases,-50.57782282781992,26.0
