n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
8616,11.712395543175488,17.660096890109617,0.8772748375116066,0.5240042404841426,0.24481509161366288,validation,12,climatology,pooled_common_cases,11.443291641108132,
8616,16.08112226959517,24.467491917990657,-2.4414875574368984,0.24320812825056012,-0.44959287464465536,validation,12,raw_cams,pooled_common_cases,-21.588384687195973,
8616,9.957968080826713,16.139930171191104,-2.6019384901956215,0.6234940747761276,0.3692308544698374,validation,12,obs_lgbm,pooled_common_cases,24.70841068078905,
8616,9.832617702018181,15.894478468216757,-1.9780780155796684,0.6317171797258638,0.3882701072269221,validation,12,cams_lgbm,pooled_common_cases,25.656177249797373,
8616,9.857517048437062,15.73315735145682,-1.2842955028390928,0.6367376834719266,0.40062460478062256,validation,12,cams_xgboost,pooled_common_cases,25.467914810143977,
8616,9.832617702018181,15.894478468216757,-1.9780780155796684,0.6317171797258638,0.3882701072269221,validation,12,champion,pooled_common_cases,25.656177249797373,
8616,9.822291338977276,15.892326718282705,-1.9795341844913452,0.6319418399915344,0.3884357245714932,validation,12,prediction_q50,pooled_common_cases,25.734254250941202,
8546,10.025263281067165,15.878747164501318,0.0239761291832436,0.537153431694035,0.07110175765051785,validation,24,persistence,pooled_common_cases,0.0,
8546,10.042885560496138,14.89562859854054,2.664053358296279,0.5495212153404793,0.18256478235893103,validation,24,climatology,pooled_common_cases,-0.17577871956993008,
8546,13.899498541340877,21.74679662408595,2.7939877052258426,0.48978874125648686,-0.7423133326248583,validation,24,raw_cams,pooled_common_cases,-38.64472335195679,
8546,7.8159508966816444,12.461617689975007,-1.0899440552055222,0.6575532811342857,0.42788343715551724,validation,24,obs_lgbm,pooled_common_cases,22.03745001448325,
8546,7.758823131911416,12.24059310422106,-0.20051616138644746,0.6696661545633671,0.44799806874879866,validation,24,cams_lgbm,pooled_common_cases,22.607288064304008,
8546,7.814812262588884,12.191348593176444,0.1875816140887946,0.6728860798810004,0.4524305967418071,validation,24,cams_xgboost,pooled_common_cases,22.048807662266046,
8546,7.758823131911416,12.24059310422106,-0.20051616138644746,0.6696661545633671,0.44799806874879866,validation,24,champion,pooled_common_cases,22.607288064304008,
8546,7.744279004547842,12.206584204345637,-0.06814271478799501,0.6729225174680088,0.4510611391586826,validation,24,prediction_q50,pooled_common_cases,22.752362831477857,
8495,10.67112419070041,16.747516256602232,0.02257798705120659,0.4903962309587302,-0.023870212064346807,validation,48,persistence,pooled_common_cases,0.0,
8495,10.075473808122425,14.987570532051143,2.6186756915832845,0.5457129933614796,0.18001374644423374,validation,48,climatology,pooled_common_cases,5.581889704714326,
8495,14.334488497270291,22.791863349551516,2.6079958960888865,0.47222367431391493,-0.8962856421798868,validation,48,raw_cams,pooled_common_cases,-34.32969423936048,
8495,8.208783397151961,12.933226167644182,-0.9376417490948737,0.6266171677742687,0.3893985425581107,validation,48,obs_lgbm,pooled_common_cases,23.07480214403569,
8495,8.15109324672723,12.756661591048285,-0.14663123890348498,0.6374806876718612,0.40595661872888544,validation,48,cams_lgbm,pooled_common_cases,23.615421383337644,
8495,8.220240151201578,12.675969975212498,0.4366578460006311,0.6436755545288737,0.4134480328287904,validation,48,cams_xgboost,pooled_common_cases,22.96743994072068,
8495,8.15109324672723,12.756661591048285,-0.14663123890348498,0.6374806876718612,0.40595661872888544,validation,48,champion,pooled_common_cases,23.615421383337644,
8495,8.14113022728099,12.732877809044624,-0.0574423319839599,0.6396596241407386,0.4081696471698524,validation,48,prediction_q50,pooled_common_cases,23.708785674373857,
8470,11.01646989374262,17.29360471019536,0.03805194805194802,0.45447246056800966,-0.09546358194695403,validation,72,persistence,pooled_common_cases,0.0,
