model,forecast_hour,feature,gain_or_split_importance,normalized_importance_pct
cams_lgbm,6,region_Kalimantan,29.0,0.2175543885971493
cams_lgbm,6,region_Papua,0.0,0.0
cams_lgbm,6,region_Sulawesi,0.0,0.0
cams_lgbm,6,region_Sumatra,4.0,0.030007501875468866
cams_lgbm,6,region_nan,0.0,0.0
cams_lgbm,6,timezone_WIB,0.0,0.0
cams_lgbm,6,timezone_WIT,0.0,0.0
cams_lgbm,6,timezone_WITA,3.0,0.02250562640660165
cams_lgbm,6,timezone_nan,0.0,0.0
cams_lgbm,12,pm25_lag_0h,385.0,2.861602497398543
cams_lgbm,12,pm25_lag_1h,190.0,1.4122194143005797
cams_lgbm,12,pm25_lag_2h,214.0,1.5906050245280214
cams_lgbm,12,pm25_lag_3h,216.0,1.605470492046975
cams_lgbm,12,pm25_lag_6h,252.0,1.8730489073881373
cams_lgbm,12,pm25_lag_12h,484.0,3.59744313958674
cams_lgbm,12,pm25_lag_24h,337.0,2.50483127694366
cams_lgbm,12,pm25_lag_48h,403.0,2.9953917050691246
cams_lgbm,12,pm25_lag_72h,376.0,2.7947078935632526
cams_lgbm,12,pm25_lag_168h,417.0,3.0994499777017985
cams_lgbm,12,rh_lag_0h,147.0,1.09261186264308
cams_lgbm,12,temperature_lag_0h,249.0,1.850750706109707
cams_lgbm,12,rh_lag_1h,113.0,0.8398989148208711
cams_lgbm,12,temperature_lag_1h,256.0,1.9027798424260443
cams_lgbm,12,rh_lag_3h,100.0,0.7432733759476735
cams_lgbm,12,temperature_lag_3h,195.0,1.4493830830979635
cams_lgbm,12,rh_lag_6h,160.0,1.1892374015162777
cams_lgbm,12,temperature_lag_6h,210.0,1.5608740894901145
cams_lgbm,12,rh_lag_12h,201.0,1.4939794856548239
cams_lgbm,12,temperature_lag_12h,312.0,2.3190129329567415
cams_lgbm,12,rh_lag_24h,177.0,1.3155938754273822
cams_lgbm,12,temperature_lag_24h,299.0,2.222387394083544
cams_lgbm,12,pm25_mean_3h,109.0,0.8101679797829642
cams_lgbm,12,pm25_std_3h,295.0,2.192656459045637
cams_lgbm,12,pm25_max_3h,146.0,1.0851791288836035
cams_lgbm,12,pm25_available_fraction_3h,0.0,0.0
cams_lgbm,12,pm25_mean_6h,152.0,1.1297755314404638
cams_lgbm,12,pm25_std_6h,262.0,1.9473762449829046
cams_lgbm,12,pm25_max_6h,164.0,1.2189683365541846
cams_lgbm,12,pm25_available_fraction_6h,0.0,0.0
cams_lgbm,12,pm25_mean_12h,247.0,1.8358852385907536
cams_lgbm,12,pm25_std_12h,219.0,1.6277686933254052
cams_lgbm,12,pm25_max_12h,201.0,1.4939794856548239
cams_lgbm,12,pm25_available_fraction_12h,2.0,0.01486546751895347
cams_lgbm,12,pm25_mean_24h,295.0,2.192656459045637
cams_lgbm,12,pm25_std_24h,249.0,1.850750706109707
cams_lgbm,12,pm25_max_24h,189.0,1.4047866805411031
cams_lgbm,12,pm25_available_fraction_24h,16.0,0.11892374015162777
cams_lgbm,12,pm25_mean_72h,244.0,1.8135870373123235
cams_lgbm,12,pm25_std_72h,236.0,1.7541251672365097
cams_lgbm,12,pm25_max_72h,203.0,1.5088449531737773
cams_lgbm,12,pm25_available_fraction_72h,27.0,0.20068381150587186
cams_lgbm,12,pm25_mean_168h,281.0,2.0885981864129626
cams_lgbm,12,pm25_std_168h,239.0,1.7764233685149398
