forecast_hour,feature,train_n,test_n,train_missing_pct,test_missing_pct,train_mean,test_mean,standardized_mean_difference,population_stability_index
6,pm25_lag_72h,18580,6074,5.862086436641841,7.422648986434995,25.468040904198062,26.416792887718138,0.031367270136389964,0.01224195134946487
6,pm25_lag_168h,18588,6062,5.82155342757258,7.605547934766042,25.472950290510003,25.25801715605411,-0.00710706523623165,0.011614472517940858
6,rh_lag_0h,19118,6312,3.136241576734053,3.7951531778692273,91.4641829689298,93.04388466413181,0.17670783964017034,0.07554704221689731
6,temperature_lag_0h,18966,6312,3.906368749050008,3.7951531778692273,24.550216176315512,23.97957858048162,-0.2699446374391234,0.13354216789482262
6,rh_lag_1h,19110,6315,3.176774585803314,3.7494284407864655,92.45978911564626,93.66080760095012,0.13963433881454038,0.05298925580124914
6,temperature_lag_1h,18959,6315,3.941835131985611,3.7494284407864655,24.052012236932327,23.571338083927156,-0.232060482125017,0.12575592052760715
6,rh_lag_3h,19104,6316,3.207174342605259,3.734186861758878,92.13410542294807,93.27184927169094,0.13242228840079606,0.050127987396532306
6,temperature_lag_3h,18954,6316,3.9671682626538987,3.734186861758878,24.23191938377124,23.833834705509815,-0.1927314313540599,0.10659595084885992
6,rh_lag_6h,19098,6301,3.2375740994072046,3.962810547172687,90.90841030474395,92.20266624345342,0.1459092554042363,0.054532519514422874
6,temperature_lag_6h,18948,6301,3.9975680194558447,3.962810547172687,24.820345155161498,24.45603872401206,-0.17374637240457302,0.08757505702797755
6,rh_lag_12h,19082,6256,3.3186401175457263,4.648681603414113,83.68187244523635,84.70588235294117,0.09702168481429402,0.013329371186004552
6,temperature_lag_12h,18928,6256,4.098900542128996,4.648681603414113,26.966763524936603,26.821355498721232,-0.06002636791487819,0.023885644157470916
6,rh_lag_24h,19120,6310,3.126108324466738,3.825636335924402,91.46089173640168,93.05530903328051,0.17833434501610487,0.07663507796360805
6,temperature_lag_24h,18968,6310,3.8962354967826927,3.825636335924402,24.548882328131587,23.97933438985737,-0.26930072799614324,0.13313425403378848
6,pm25_mean_3h,18797,6212,4.762628565638142,5.319311080627953,23.262253728431833,25.029724726336116,0.06382880615229221,0.01948948492672094
6,pm25_std_3h,18797,6212,4.762628565638142,5.319311080627953,4.380251888348664,5.102026690470065,0.08966806406787577,0.014061187695858027
6,pm25_max_3h,18797,6212,4.762628565638142,5.319311080627953,28.64006490397404,31.313763683193816,0.07577351892207952,0.019192653986063204
6,pm25_available_fraction_3h,19737,6561,0.0,0.0,0.9429835672425733,0.9281105522532135,-0.06723981624466999,0.0
6,pm25_mean_6h,18884,6251,4.321832092009931,4.7248894985520495,22.721574701687494,24.24514397696368,0.05696670230427975,0.022703945167246685
6,pm25_std_6h,18884,6251,4.321832092009931,4.7248894985520495,5.9439887763389985,6.932009150077148,0.09364375990352372,0.021517989764451018
6,pm25_max_6h,18884,6251,4.321832092009931,4.7248894985520495,32.5080968015251,35.555143177091665,0.07193569418880222,0.022455921791103145
6,pm25_available_fraction_6h,19737,6561,0.0,0.0,0.9435408961172755,0.9278565259360869,-0.07297899713702609,0.0
6,pm25_mean_12h,19009,6287,3.688503825302731,4.176192653558909,24.002606398677866,25.309699741742456,0.05606315783035075,0.012684511098148856
6,pm25_std_12h,19009,6287,3.688503825302731,4.176192653558909,8.403446896550625,9.715790517495952,0.10933123448930011,0.020026517322351837
6,pm25_max_12h,19009,6287,3.688503825302731,4.176192653558909,41.56057656899363,45.53497693653571,0.08388466737697545,0.01608075426540066
6,pm25_available_fraction_12h,19737,6561,0.0,0.0,0.9458208778774215,0.9295458009449779,-0.07920749097415027,0.0
